Tue, 08 Aug 2017 16:10:59 lagouetl.py[line:104] INFO COPY pageno 69, insert count: 56022 current offset: 69000
Tue, 08 Aug 2017 16:11:29 lagouetl.py[line:104] INFO COPY pageno 70, insert count: 56945 current offset: 70000
Tue, 08 Aug 2017 16:11:57 lagouetl.py[line:104] INFO COPY pageno 71, insert count: 57804 current offset: 71000
Tue, 08 Aug 2017 16:12:27 lagouetl.py[line:104] INFO COPY pageno 72, insert count: 58543 current offset: 72000
Tue, 08 Aug 2017 16:12:55 lagouetl.py[line:104] INFO COPY pageno 73, insert count: 58693 current offset: 73000
Tue, 08 Aug 2017 16:13:23 lagouetl.py[line:104] INFO COPY pageno 74, insert count: 58756 current offset: 74000
Tue, 08 Aug 2017 16:13:52 lagouetl.py[line:104] INFO COPY pageno 75, insert count: 58817 current offset: 75000
Tue, 08 Aug 2017 16:14:22 lagouetl.py[line:104] INFO COPY pageno 76, insert count: 58871 current offset: 76000
Tue, 08 Aug 2017 16:14:50 lagouetl.py[line:104] INFO COPY pageno 77, insert count: 58938 current offset: 77000
Tue, 08 Aug 2017 16:15:18 lagouetl.py[line:104] INFO COPY pageno 78, insert count: 59575 current offset: 78000
Tue, 08 Aug 2017 16:15:47 lagouetl.py[line:104] INFO COPY pageno 79, insert count: 60371 current offset: 79000
Tue, 08 Aug 2017 16:16:15 lagouetl.py[line:104] INFO COPY pageno 80, insert count: 61174 current offset: 80000
Tue, 08 Aug 2017 16:16:42 lagouetl.py[line:104] INFO COPY pageno 81, insert count: 61937 current offset: 81000
Tue, 08 Aug 2017 16:17:10 lagouetl.py[line:104] INFO COPY pageno 82, insert count: 62445 current offset: 82000
Tue, 08 Aug 2017 16:17:38 lagouetl.py[line:104] INFO COPY pageno 83, insert count: 63219 current offset: 83000
Tue, 08 Aug 2017 16:18:05 lagouetl.py[line:104] INFO COPY pageno 84, insert count: 63989 current offset: 84000
Tue, 08 Aug 2017 16:18:33 lagouetl.py[line:104] INFO COPY pageno 85, insert count: 64859 current offset: 85000
Tue, 08 Aug 2017 16:19:01 lagouetl.py[line:104] INFO COPY pageno 86, insert count: 65608 current offset: 86000
Tue, 08 Aug 2017 16:19:29 lagouetl.py[line:104] INFO COPY pageno 87, insert count: 66379 current offset: 87000
Tue, 08 Aug 2017 16:19:58 lagouetl.py[line:104] INFO COPY pageno 88, insert count: 67169 current offset: 88000
Tue, 08 Aug 2017 16:20:28 lagouetl.py[line:104] INFO COPY pageno 89, insert count: 67926 current offset: 89000
Tue, 08 Aug 2017 16:20:56 lagouetl.py[line:104] INFO COPY pageno 90, insert count: 68710 current offset: 90000
Tue, 08 Aug 2017 16:21:24 lagouetl.py[line:104] INFO COPY pageno 91, insert count: 69222 current offset: 91000
Tue, 08 Aug 2017 16:21:54 lagouetl.py[line:104] INFO COPY pageno 92, insert count: 69618 current offset: 92000
Tue, 08 Aug 2017 16:22:22 lagouetl.py[line:104] INFO COPY pageno 93, insert count: 69981 current offset: 93000
Tue, 08 Aug 2017 16:22:52 lagouetl.py[line:104] INFO COPY pageno 94, insert count: 70445 current offset: 94000
Tue, 08 Aug 2017 16:23:20 lagouetl.py[line:104] INFO COPY pageno 95, insert count: 70948 current offset: 95000
Tue, 08 Aug 2017 16:23:49 lagouetl.py[line:104] INFO COPY pageno 96, insert count: 71508 current offset: 96000
Tue, 08 Aug 2017 16:24:18 lagouetl.py[line:104] INFO COPY pageno 97, insert count: 72084 current offset: 97000
